Name of Earth Meteorite,ID of Earth Meteorite,nametype,recclass,Mass of Earth Meteorite,Year at which Earth Meteorite was hit,reclat,reclong,point coordinates
Mount Vaisi,16805,Valid,Stone-uncl,17000.0,,44.08333,6.86667,"[6, 44]"
Mtola,16820,Valid,Stone-uncl,1100.0,,-11.5,33.5,"[33, -11]"
Muddoor,16841,Valid,L5,4400.0,,12.63333,77.01667,"[77, 12]"
Mulletiwu,16851,Valid,L,25.5,,9.33333,80.83333,"[80, 9]"
Muraid,16874,Valid,L6,4703.0,,24.5,90.21667,"[90, 24]"
Murchison,16875,Valid,CM2,100000.0,,-36.61667,145.2,"[145, -36]"
Murray,16882,Valid,CM2,12600.0,,36.6,-88.1,"[-88, 36]"
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",1245.0,,26.13333,85.53333,"[85, 26]"
Myhee Caunta,16887,Valid,OC,,,23.05,72.63333,"[72, 23]"
Nadiabondi,16889,Valid,H5,8165.0,,12.0,1.0,"[1, 12]"
Nagai,16890,Valid,L6,1810.0,,38.12167,140.06167,"[140, 38]"
Nagaria,16892,Valid,Eucrite-cm,20.0,,26.98333,78.21667,"[78, 26]"
Nagy-Borové,16893,Valid,L5,6100.0,,49.16667,19.5,"[19, 49]"
Nakhla,16898,Valid,Martian (nakhlite),10000.0,,31.31667,30.35,"[30, 31]"
Nakhon Pathom,16899,Valid,L6,23200.0,,13.73333,100.08333,"[100, 13]"
Nammianthal,16902,Valid,H5,4500.0,,12.28333,79.2,"[79, 12]"
Nan Yang Pao,16903,Valid,L6,52900.0,,35.66667,103.5,"[103, 35]"
Nanjemoy,16904,Valid,H6,7500.0,,38.41667,-77.16667,"[-77, 38]"
Nantong,16907,Valid,H6,529.0,,32.11667,121.8,"[121, 32]"
Naoki,16908,Valid,H6,17000.0,,19.25,77.0,"[77, 19]"
Naragh,16909,Valid,H6,2700.0,,33.75,51.5,"[51, 33]"
Narellan,16912,Valid,L6,367.5,,-34.05,150.68889,"[150, -34]"
Narni,16914,Valid,Stone-uncl,,,42.51667,12.51667,"[12, 42]"
Nassirah,16922,Valid,H4,347.0,,-21.73333,165.9,"[165, -21]"
Natal,16923,Valid,Stone-uncl,1.4,,,,
Nawapali,16927,Valid,CM2,105.0,,21.25,83.66667,"[83, 21]"
Neagari,16934,Valid,L6,420.0,,36.44917,136.46528,"[136, 36]"
Nedagolla,16935,Valid,"Iron, ungrouped",4500.0,,18.68333,83.48333,"[83, 18]"
Nejo,16941,Valid,L6,2450.0,,9.5,35.33333,"[35, 9]"
Nerft,16945,Valid,L6,10250.0,,56.5,21.5,"[21, 56]"
Neuschwanstein,16950,Valid,EL6,6189.0,,47.525,10.80833,"[10, 47]"
New Concord,16953,Valid,L6,230000.0,,40.0,-81.76667,"[-81, 40]"
New Halfa,16954,Valid,L4,12000.0,,15.36667,35.68333,"[35, 15]"
New Orleans,16960,Valid,H5,19256.0,,29.94718,-90.10976,"[-90, 29]"
Ngawi,16966,Valid,LL3.6,1393.0,,-7.45,111.41667,"[111, -7]"
N'Goureyma,16968,Valid,"Iron, ungrouped",37500.0,,13.85,-4.38333,"[-4, 13]"
Nicorps,16970,Valid,Stone-uncl,,,49.03333,-1.43333,"[-1, 49]"
Niger (L6),16974,Valid,L6,3.3,,,,
Niger (LL6),16975,Valid,LL6,3.3,,,,
Nikolaevka,16976,Valid,H4,3996.0,,52.45,78.63333,"[78, 52]"
Nikolskoe,16977,Valid,L4,6000.0,,56.11667,37.33333,"[37, 56]"
Ningbo,16980,Valid,"Iron, IVA",14250.0,,29.86667,121.48333,"[121, 29]"
Ningqiang,16981,Valid,C3-ung,4610.0,,32.925,105.90667,"[105, 32]"
Nio,16982,Valid,H3-4,467.0,,34.2,131.56667,"[131, 34]"
N'Kandhla,16983,Valid,"Iron, IID",17200.0,,-28.56667,30.7,"[30, -28]"
Nobleborough,16984,Valid,Eucrite-pmict,2300.0,,44.08333,-69.48333,"[-69, 44]"
Noblesville,16985,Valid,H4-6,483.7,,40.08528,-86.055,"[-86, 40]"
Nogata,16988,Valid,L6,472.0,,33.725,130.75,"[130, 33]"
Nogoya,16989,Valid,CM2,4000.0,,-32.36667,-59.83333,"[-59, -32]"
Norfork,16994,Valid,"Iron, IIIAB",1050.0,,36.21667,-92.26667,"[-92, 36]"
Norton County,17922,Valid,Aubrite,1100000.0,,39.68333,-99.86667,"[-99, 39]"
Noventa Vicentina,17930,Valid,H4,177.0,,45.29167,11.52722,"[11, 45]"
Novo-Urei,17933,Valid,Ureilite,1900.0,,54.81667,46.0,"[46, 54]"
Novy-Ergi,17934,Valid,Stone-uncl,,,58.55,31.33333,"[31, 58]"
Novy-Projekt,17935,Valid,OC,1001.0,,56.0,22.0,"[22, 56]"
Noyan-Bogdo,17936,Valid,L6,250.0,,42.91667,102.46667,"[102, 42]"
Nuevo Mercurio,17938,Valid,H5,50000.0,,24.3,-102.13333,"[-102, 24]"
Nulles,17959,Valid,H6,5000.0,,41.63333,0.75,"[0, 41]"
Numakai,17960,Valid,H4,363.0,,43.33333,141.86667,"[141, 43]"
Nyaung,17969,Valid,"Iron, IIIAB",737.6,,21.20833,94.91667,"[94, 21]"
Nyirábrany,17970,Valid,LL5,1100.0,,47.55,22.025,"[22, 47]"
Ochansk,17979,Valid,H4,500000.0,,57.78333,55.26667,"[55, 57]"
Oesede,17988,Valid,H5,1400.0,,52.28333,8.05,"[8, 52]"
Oesel,17989,Valid,L6,6000.0,,58.5,23.0,"[23, 58]"
Ofehértó,17990,Valid,L6,3750.0,,47.88333,22.03333,"[22, 47]"
Ogi,17994,Valid,H6,14360.0,,33.28333,130.2,"[130, 33]"
Ohaba,17995,Valid,H5,16250.0,,46.06667,23.58333,"[23, 46]"
Ohuma,17996,Valid,L5,7700.0,,6.75,8.5,"[8, 6]"
Ojuelos Altos,17997,Valid,L6,5850.0,,38.18333,-5.4,"[-5, 38]"
Okabe,17998,Valid,H5,194.0,,36.18333,139.21667,"[139, 36]"
Okano,18000,Valid,"Iron, IIAB",4742.0,,35.08333,135.2,"[135, 35]"
Okniny,18002,Valid,LL6,12000.0,,50.83333,25.5,"[25, 50]"
Oldenburg (1930),18009,Valid,L6,16570.0,,52.95,8.16667,"[8, 52]"
Oliva-Gandia,18012,Valid,Stone-uncl,,,39.0,-0.03333,"[0, 39]"
Olivenza,18013,Valid,LL5,150000.0,,38.71667,-7.06667,"[-7, 38]"
Olmedilla de Alarcón,18015,Valid,H5,40000.0,,39.56667,-2.1,"[-2, 39]"
Omolon,18019,Valid,"Pallasite, PMG",250000.0,,64.02,161.80833,"[161, 64]"
Orgueil,18026,Valid,CI1,14000.0,,43.88333,1.38333,"[1, 43]"
Orlando,34489,Valid,Eucrite,180.0,,28.5475,-81.36222,"[-81, 28]"
Ornans,18030,Valid,CO3.4,6000.0,,47.11667,6.15,"[6, 47]"
Ortenau,18033,Valid,Stone-uncl,4500.0,,48.5,8.0,"[8, 48]"
Orvinio,18034,Valid,H6,3400.0,,42.13333,12.93333,"[12, 42]"
Oterøy,18042,Valid,L6,246.0,,58.88333,9.4,"[9, 58]"
Otomi,18045,Valid,H,6510.0,,38.4,140.35,"[140, 38]"
Ottawa,18046,Valid,LL6,840.0,,38.6,-95.21667,"[-95, 38]"
Ouadangou,56729,Valid,L5,4440.0,,12.9,0.08,"[0, 12]"
Oued el Hadjar,18050,Valid,LL6,1215.5,,30.18,-6.57717,"[-6, 30]"
Oum Dreyga,31282,Valid,H3-5,17000.0,,24.3,-13.1,"[-13, 24]"
Ourique,18052,Valid,H4,20000.0,,37.60833,-8.28,"[-8, 37]"
Ovambo,18055,Valid,L6,121.5,,-18.0,16.0,"[16, -18]"
Oviedo,18058,Valid,H5,205.0,,43.4,-5.86667,"[-5, 43]"
Owrucz,18062,Valid,OC,,,51.33333,28.83333,"[28, 51]"
Pacula,18068,Valid,L6,3400.0,,21.05,-99.3,"[-99, 21]"
Padvarninkai,18069,Valid,Eucrite-mmict,3858.0,,55.66667,25.0,"[25, 55]"
Paitan,18072,Valid,H6,515.0,,17.74333,120.45583,"[120, 17]"
Palahatchie,18073,Valid,OC,,,32.31667,-89.71667,"[-89, 32]"
Palca de Aparzo,18074,Valid,L5,1430.0,,-23.11667,-65.1,"[-65, -23]"
Palinshih,18077,Valid,Iron,18000.0,,43.48333,118.61667,"[118, 43]"
Palmyra,18079,Valid,L3,135.0,,39.8,-91.5,"[-91, 39]"
Palolo Valley,18082,Valid,H5,682.0,,21.3,-157.78333,"[-157, 21]"
Dominion Range 03239,32591,Valid,L6,69.5,,,,
Pampanga,18093,Valid,L5,10500.0,,15.08333,120.7,"[120, 15]"
Pantar,18098,Valid,H5,2130.0,,8.06667,124.28333,"[124, 8]"
Paragould,18101,Valid,LL5,408000.0,,36.06667,-90.5,"[-90, 36]"
Parambu,18102,Valid,LL5,2000.0,,-6.23333,-40.7,"[-40, -6]"
Paranaiba,18103,Valid,L6,100000.0,,-19.13333,-51.66667,"[-51, -19]"
Park Forest,18106,Valid,L5,18000.0,,41.48472,-87.67917,"[-87, 41]"
Parnallee,18108,Valid,LL3.6,77600.0,,9.23333,78.35,"[78, 9]"
Parsa,18109,Valid,EH3,800.0,,26.2,85.4,"[85, 26]"
Pasamonte,18110,Valid,Eucrite-pmict,5100.0,,36.21667,-103.4,"[-103, 36]"
Patora,18112,Valid,H6,4375.0,,20.93694,82.05,"[82, 20]"
Patrimonio,18116,Valid,L6,2121.0,,-19.53333,-48.56667,"[-48, -19]"
Patti,18118,Valid,Iron,12.0,,38.13333,14.96667,"[14, 38]"
Patwar,18171,Valid,Mesosiderite-A1,37350.0,,23.15,91.18333,"[91, 23]"
Pavel,18173,Valid,H5,2968.0,,43.46667,25.51667,"[25, 43]"
Pavlodar (stone),18175,Valid,H5,142.5,,52.3,77.03333,"[77, 52]"
Pavlograd,18176,Valid,L6,40000.0,,48.53333,35.98333,"[35, 48]"
Pavlovka,18177,Valid,Howardite,2000.0,,52.03333,43.0,"[43, 52]"
Pê,18179,Valid,L6,,,11.33367,-3.54217,"[-3, 11]"
Peace River,18180,Valid,L6,45760.0,,56.13333,-117.93333,"[-117, 56]"
Peckelsheim,18181,Valid,Diogenite-pm,117.8,,51.66667,9.25,"[9, 51]"
Peekskill,18782,Valid,H6,12570.0,,41.28333,-73.91667,"[-73, 41]"
Peña Blanca Spring,18786,Valid,Aubrite,70000.0,,30.125,-103.11667,"[-103, 30]"
Peramiho,18792,Valid,Eucrite-mmict,165.0,,-10.66667,35.5,"[35, -10]"
Perpeti,18793,Valid,L6,23474.0,,23.325,91.0,"[91, 23]"
Perth,18797,Valid,LL5,2.0,,56.4,-3.43333,"[-3, 56]"
Pervomaisky,18798,Valid,L6,66000.0,,56.63333,39.43333,"[39, 56]"
Pesyanoe,18799,Valid,Aubrite,3393.0,,55.5,66.08333,"[66, 55]"
Pétèlkolé,18800,Valid,H5,189.0,,14.052,0.42,"[0, 14]"
Petersburg,18801,Valid,Eucrite-pmict,1800.0,,35.3,-86.63333,"[-86, 35]"
Pettiswood,18804,Valid,Stone-uncl,,,53.53333,-7.33333,"[-7, 53]"
Phillips County (stone),18808,Valid,L6,57900.0,,40.0,-99.25,"[-99, 40]"
Phu Hong,18809,Valid,H4,500.0,,11.25,108.58333,"[108, 11]"
Phum Sambo,18811,Valid,H4,7800.0,,12.0,105.48333,"[105, 12]"
Phuoc-Binh,18812,Valid,L5,11000.0,,15.71667,108.1,"[108, 15]"
Piancaldoli,18813,Valid,LL3.4,13.1,,44.24417,11.50222,"[11, 44]"
Picote,18816,Valid,Stone-uncl,,,41.36667,-6.23333,"[-6, 41]"
Pillistfer,18822,Valid,EL6,23250.0,,58.66667,25.73333,"[25, 58]"
Piplia Kalan,18831,Valid,Eucrite-mmict,42000.0,,26.03472,73.94167,"[73, 26]"
Piquetberg,18832,Valid,H,37.0,,-32.86667,18.71667,"[18, -32]"
Pirgunje,18834,Valid,L6,842.0,,25.8,88.45,"[88, 25]"
Pirthalla,18835,Valid,H6,1161.0,,29.58333,76.0,"[76, 29]"
Pitts,18837,Valid,"Iron, IAB-ung",3760.0,,31.95,-83.51667,"[-83, 31]"
Plantersville,18846,Valid,H6,2085.0,,30.7,-96.11667,"[-96, 30]"
Pleşcoi,51706,Valid,L5-6,6913.0,,45.275,26.70972,"[26, 45]"
Ploschkovitz,18849,Valid,L5,39.0,,50.53333,14.11667,"[14, 50]"
Pnompehn,18851,Valid,L6,96.0,,11.58333,104.91667,"[104, 11]"
Dominion Range 03240,32592,Valid,LL5,290.9,,,,
Pohlitz,18853,Valid,L5,3000.0,,50.93333,12.13333,"[12, 50]"
Pokhra,18858,Valid,H5,350.0,,26.71667,82.66667,"[82, 26]"
Pollen,18860,Valid,CM2,253.6,,66.34833,14.015,"[14, 66]"
Pontlyfni,18865,Valid,Winonaite,157.0,,53.03639,-4.31944,"[-4, 53]"
Portales Valley,18874,Valid,H6,71400.0,,34.175,-103.295,"[-103, 34]"
Portugal,18876,Valid,Stone-uncl,4500.0,,38.5,-8.0,"[-8, 38]"
Po-wang Chen,18879,Valid,LL,665.0,,31.41667,118.5,"[118, 31]"
Prambachkirchen,18883,Valid,L6,2125.0,,48.3025,13.94083,"[13, 48]"
Pribram,18887,Valid,H5,5555.0,,49.66667,14.03333,"[14, 49]"
Pricetown,18888,Valid,L6,900.0,,39.11667,-83.85,"[-83, 39]"
Puerto Lápice,45984,Valid,Eucrite-br,500.0,,39.35,-3.51667,"[-3, 39]"
Pulsora,18899,Valid,H5,560.0,,23.36667,75.18333,"[75, 23]"
Pultusk,18901,Valid,H5,250000.0,,52.76667,21.26667,"[21, 52]"
Punganaru,18902,Valid,Stone-uncl,100.0,,13.33333,78.95,"[78, 13]"
Putinga,18905,Valid,L6,300000.0,,-29.03333,-53.05,"[-53, -29]"
Qidong,18907,Valid,L/LL5,1275.0,,32.08333,121.5,"[121, 32]"
Qingzhen,18908,Valid,EH3,2600.0,,26.53333,106.46667,"[106, 26]"
Queen's Mercy,22357,Valid,H6,7000.0,,-30.11667,28.7,"[28, -30]"
Quenggouk,22358,Valid,H4,6045.0,,17.76667,95.18333,"[95, 17]"
Quesa,22360,Valid,"Iron, IAB-ung",10750.0,,39.0,-0.66667,"[0, 39]"
Quija,22361,Valid,H,17450.0,,44.61667,126.13333,"[126, 44]"
Quincay,22363,Valid,L6,65.0,,46.6,0.25,"[0, 46]"
Raco,22368,Valid,H5,5000.0,,-26.66667,-65.45,"[-65, -26]"
Raghunathpura,22371,Valid,"Iron, IIAB",10200.0,,27.72528,76.465,"[76, 27]"
Rahimyar Khan,31302,Valid,L5,67225.0,,28.225,70.2,"[70, 28]"
Rakovka,22376,Valid,L6,9000.0,,52.98333,37.03333,"[37, 52]"
Ramnagar,22384,Valid,L6,3766.0,,26.45,82.9,"[82, 26]"
Rampurhat,22385,Valid,LL,100.0,,24.16667,87.76667,"[87, 24]"
Ramsdorf,22386,Valid,L6,4682.0,,51.88333,6.93333,"[6, 51]"
Ranchapur,22387,Valid,H4,290.4,,23.98333,87.08333,"[87, 23]"
Rancho de la Presa,22390,Valid,H5,300.0,,19.86667,-100.81667,"[-100, 19]"
Rangala,22392,Valid,L6,3224.5,,25.38333,72.01667,"[72, 25]"
Raoyang,22394,Valid,L6,4910.0,,38.2,115.7,"[115, 38]"
Ras Tanura,22395,Valid,H6,6.1,,26.66667,50.15,"[50, 26]"
Rasgrad,22396,Valid,Stone-uncl,24700.0,,43.5,26.53333,"[26, 43]"
Ratyn,22398,Valid,Stone-uncl,910.0,,52.2,17.98333,"[17, 52]"
Red Canyon Lake,53502,Valid,H5,18.41,,38.13742,-119.75812,"[-119, 38]"
Reliegos,22584,Valid,L5,17300.0,,42.475,-5.33333,"[-5, 42]"
Rembang,22585,Valid,"Iron, IVA",10000.0,,-6.73333,111.36667,"[111, -6]"
Renazzo,22586,Valid,CR2,1000.0,,44.76667,11.28333,"[11, 44]"
Renca,22587,Valid,L5,300.0,,-32.75,-65.28333,"[-65, -32]"
Renqiu,22589,Valid,L6,355.0,,38.66667,116.13333,"[116, 38]"
Repeev Khutor,22590,Valid,"Iron, IIF",7000.0,,48.6,45.66667,"[45, 48]"
Revelstoke,22592,Valid,CI1,1.0,,51.33333,-118.95,"[-118, 51]"
Rewari,22593,Valid,L6,3332.0,,28.2,76.66667,"[76, 28]"
Rich Mountain,22597,Valid,L6,668.0,,35.03333,-83.03333,"[-83, 35]"
Uzcudun,24140,Valid,L,20000.0,,-44.11667,-66.15,"[-66, -44]"
Richardton,22599,Valid,H5,90000.0,,46.88333,-102.31667,"[-102, 46]"
Richland Springs,22602,Valid,OC,1900.0,,31.25,-99.03333,"[-99, 31]"
Richmond,22603,Valid,LL5,1800.0,,37.46667,-77.5,"[-77, 37]"
Rio Negro,22611,Valid,L4,1310.0,,-26.1,-49.8,"[-49, -26]"
Rivolta de Bassi,22614,Valid,Stone-uncl,103.3,,45.48333,9.51667,"[9, 45]"
Rochester,22637,Valid,H6,340.0,,41.08333,-86.28333,"[-86, 41]"
Rockhampton,22640,Valid,Stone-uncl,1641.0,,-23.38333,150.51667,"[150, -23]"
Roda,22641,Valid,Diogenite,400.0,,42.3,0.55,"[0, 42]"
Rodach,22642,Valid,Stone-uncl,2900.0,,50.35,10.8,"[10, 50]"
Rose City,22766,Valid,H5,10600.0,,44.51667,-83.95,"[-83, 44]"
Rowton,22773,Valid,"Iron, IIIAB",3500.0,,52.76667,-2.51667,"[-2, 52]"
Ruhobobo,22780,Valid,L6,465.5,,-1.45,29.83333,"[29, -1]"
Rumuruti,22782,Valid,R3.8-6,67.0,,0.26667,36.53333,"[36, 0]"
Rupota,22783,Valid,L4-6,6000.0,,-10.26667,38.76667,"[38, -10]"
Ryechki,22791,Valid,L5,13000.0,,51.13333,34.5,"[34, 51]"
Sabetmahet,22792,Valid,H5,1250.0,,27.43333,82.08333,"[82, 27]"
Sabrum,22793,Valid,LL6,478.0,,23.08333,91.66667,"[91, 23]"
Sagan,22796,Valid,Stone-uncl,,,51.53333,14.88333,"[14, 51]"
Saint-Sauveur,23101,Valid,EH5,14000.0,,43.73333,1.38333,"[1, 43]"
Saint-Séverin,23102,Valid,LL6,271000.0,,45.3,0.23333,"[0, 45]"
Sakauchi,23103,Valid,Iron,4180.0,,35.66667,136.3,"[136, 35]"
Salem,23107,Valid,L6,61.4,,44.97917,-122.96944,"[-122, 44]"
Salles,23111,Valid,L5,9000.0,,46.05,4.63333,"[4, 46]"
Salzwedel,23114,Valid,LL5,43.0,,52.75,11.05,"[11, 52]"
Samelia,23115,Valid,"Iron, IIIAB",2462.0,,25.66667,74.86667,"[74, 25]"
San Juan Capistrano,23128,Valid,H6,56.0,,33.48472,-117.6625,"[-117, 33]"
San Michele,31315,Valid,L6,237.0,,43.66667,13.0,"[13, 43]"
San Pedro de Quiles,23130,Valid,L6,282.0,,-31.01667,-71.4,"[-71, -31]"
San Pedro Jacuaro,34063,Valid,LL6,460.0,,19.76667,-100.65,"[-100, 19]"
Santa Barbara,23161,Valid,L4,400.0,,-29.2,-51.86667,"[-51, -29]"
Santa Cruz,23164,Valid,CM2,60.0,,24.16667,-99.33333,"[-99, 24]"
Santa Isabel,23165,Valid,L6,5500.0,,-33.9,-61.7,"[-61, -33]"
Santa Lucia (2008),50909,Valid,L6,4000.0,,-31.535556,-68.489444,"[-68, -31]"
São Jose do Rio Preto,23171,Valid,H4,927.0,,-20.81,-49.38056,"[-49, -20]"
Saratov,23176,Valid,L4,200000.0,,52.55,46.55,"[46, 52]"
Sasagase,23187,Valid,H,695.0,,34.71667,137.78333,"[137, 34]"
Sauguis,23188,Valid,L6,4000.0,,43.15,-0.85,"[0, 43]"
Savtschenskoje,23190,Valid,LL4,2500.0,,47.21667,29.86667,"[29, 47]"
Sayama,23192,Valid,CM2,430.0,,35.86667,139.4,"[139, 35]"
Sazovice,23455,Valid,L5,412.0,,49.23333,17.56667,"[17, 49]"
Schellin,23457,Valid,L,7000.0,,53.35,15.05,"[15, 53]"
Schenectady,23458,Valid,H5,283.3,,42.86083,-73.95028,"[-73, 42]"
Schönenberg,23460,Valid,L6,8000.0,,48.11667,10.46667,"[10, 48]"
Searsmont,23472,Valid,H5,5400.0,,44.36667,-69.2,"[-69, 44]"
Sediköy,23473,Valid,L6,240.0,,38.3,27.13333,"[27, 38]"
Segowlie,23476,Valid,LL6,6930.0,,26.75,84.78333,"[84, 26]"
Selakopi,23481,Valid,H5,1590.0,,-7.23333,107.33333,"[107, -7]"
Seldebourak,23483,Valid,H5,150.0,,22.83333,4.98333,"[4, 22]"
Semarkona,23487,Valid,LL3.00,691.0,,22.25,79.0,"[79, 22]"
Sena,23495,Valid,H4,4000.0,,41.71667,-0.05,"[0, 41]"
Senboku,23496,Valid,H6,866.0,,39.43833,140.51167,"[140, 39]"
Seoni,23500,Valid,H6,20000.0,,21.68389,79.50083,"[79, 21]"
Seres,23501,Valid,H4,8500.0,,41.05,23.56667,"[23, 41]"
Serra de Magé,23502,Valid,Eucrite-cm,1800.0,,-8.38333,-36.76667,"[-36, -8]"
Sete Lagoas,23504,Valid,H4,350.0,,-19.46667,-44.21667,"[-44, -19]"
Sevilla,23508,Valid,LL4,180.0,,37.41667,-6.0,"[-6, 37]"
Sevrukovo,23509,Valid,L5,101000.0,,50.61667,36.6,"[36, 50]"
Sfax,23512,Valid,L6,7000.0,,34.75,10.71667,"[10, 34]"
Shalka,23521,Valid,Diogenite,4000.0,,23.1,87.3,"[87, 23]"
Sharps,23525,Valid,H3.4,1265.0,,37.83333,-76.7,"[-76, 37]"
Shelburne,23529,Valid,L5,18600.0,,44.05,-80.16667,"[-80, 44]"
Shergotty,23530,Valid,Martian (shergottite),5000.0,,24.55,84.83333,"[84, 24]"
Sheyang,23531,Valid,L6,605.0,,33.65,120.06667,"[120, 33]"
Shikarpur,23534,Valid,L6,3679.7,,25.85,87.5775,"[87, 25]"
Shuangyang,23582,Valid,H5,3900.0,,43.5,125.66667,"[125, 43]"
Shupiyan,23583,Valid,H6,5000.0,,33.71667,74.83333,"[74, 33]"
Shytal,23584,Valid,L6,3200.0,,24.33333,90.16667,"[90, 24]"
Siena,23586,Valid,LL5,3700.0,,43.11667,11.6,"[11, 43]"
Sikhote-Alin,23593,Valid,"Iron, IIAB",23000000.0,,46.16,134.65333,"[134, 46]"
Silao,23594,Valid,H5,1710.0,,20.93333,-101.38333,"[-101, 20]"
Silistra,55584,Valid,Achondrite-ung,0.15,,44.11667,27.26667,"[27, 44]"
Simmern,23603,Valid,H5,1222.0,,49.98333,7.53333,"[7, 49]"
Sinai,23606,Valid,L6,1455.0,,30.9,32.48333,"[32, 30]"
Sindhri,23611,Valid,H5,8400.0,,26.21667,69.55,"[69, 26]"
Sinnai,23613,Valid,H6,2000.0,,39.3,9.2,"[9, 39]"
Sioux County,23614,Valid,Eucrite-mmict,4100.0,,42.58333,-103.66667,"[-103, 42]"
Sitathali,23616,Valid,H5,1600.0,,20.91667,82.58333,"[82, 20]"
Sivas,23617,Valid,H6,40000.0,,39.82467,36.13583,"[36, 39]"
Sixiangkou,23619,Valid,L5,630.0,,32.43333,119.86667,"[119, 32]"
Ski,23621,Valid,L6,850.0,,59.73333,10.86667,"[10, 59]"
Slavetic,23626,Valid,H5,1708.0,,45.68333,15.6,"[15, 45]"
Slobodka,23645,Valid,L4,2750.0,,55.0,35.0,"[35, 55]"
Soheria,23660,Valid,OC,72.9,,27.13333,84.06667,"[84, 27]"
Soko-Banja,23661,Valid,LL4,80000.0,,43.66667,21.86667,"[21, 43]"
Sologne,23663,Valid,H5,54.0,,47.36667,1.73333,"[1, 47]"
Sołtmany,53829,Valid,L6,1066.0,,54.00883,22.005,"[22, 54]"
Sone,23667,Valid,H5,17100.0,,35.16667,135.33333,"[135, 35]"
Songyuan,23668,Valid,L6,36900.0,,45.25,125.0,"[125, 45]"
Sopot,23670,Valid,OC,958.0,,44.41667,23.5,"[23, 44]"
Soroti,23671,Valid,"Iron, ungrouped",2050.0,,1.7,33.63333,"[33, 1]"
St. Caprais-de-Quinsac,23081,Valid,L6,360.0,,44.75,0.05,"[0, 44]"
St. Christophe-la-Chartreuse,23082,Valid,L6,5500.0,,46.95,-1.5,"[-1, 46]"
St. Denis Westrem,23083,Valid,L6,700.0,,51.05,3.75,"[3, 51]"
St. Germain-du-Pinel,23087,Valid,H6,4000.0,,48.01667,-1.15,"[-1, 48]"
St. Louis,23089,Valid,H4,1000.0,,38.7,-90.23333,"[-90, 38]"
St. Mark's,23090,Valid,EH5,13780.0,,-32.01667,27.41667,"[27, -32]"
St. Mary's County,23091,Valid,LL3.3,24.3,,38.16667,-76.38333,"[-76, 38]"
St. Mesmin,23092,Valid,LL6,8300.0,,48.45,3.93333,"[3, 48]"
St. Michel,23093,Valid,L6,17000.0,,61.65,27.2,"[27, 61]"
St.-Chinian,23097,Valid,L6,134.3,,43.43333,2.95,"[2, 43]"
Ställdalen,23712,Valid,H5,34000.0,,59.93333,14.95,"[14, 59]"
Stannern,23713,Valid,Eucrite-mmict,52000.0,,49.28333,15.56667,"[15, 49]"
Stavropol,23717,Valid,L6,1500.0,,45.05,41.98333,"[41, 45]"
Ste. Marguerite,23099,Valid,H4,4960.0,,50.76667,3.0,"[3, 50]"
Sterlitamak,23724,Valid,"Iron, IIIAB",325000.0,,53.66667,55.98333,"[55, 53]"
Stolzenau,23726,Valid,Stone-uncl,,,52.53333,9.05,"[9, 52]"
Stratford,23728,Valid,L6,50.0,,41.2,-73.13333,"[-73, 41]"
Strathmore,23729,Valid,L6,13400.0,,56.58333,-3.25,"[-3, 56]"
Stretchleigh,23732,Valid,Stone-uncl,10400.0,,50.38333,-3.95,"[-3, 50]"
St-Robert,23733,Valid,H5,25400.0,,45.96861,-72.97806,"[-72, 45]"
Success,23736,Valid,L6,3500.0,,36.48333,-90.66667,"[-90, 36]"
Suchy Dul,23737,Valid,L6,815.3,,50.53806,16.26333,"[16, 50]"
Suizhou,23738,Valid,L6,260000.0,,31.61667,113.46667,"[113, 31]"
Sulagiri,48951,Valid,LL6,110000.0,,12.66667,78.03333,"[78, 12]"
Sultanpur,23741,Valid,L/LL6,1710.5,,25.93333,84.28333,"[84, 25]"
Sungach,23745,Valid,H5,637.0,,44.86667,133.16667,"[133, 44]"
Supuhee,23760,Valid,H6,7235.0,,26.71667,84.21667,"[84, 26]"
Sutter's Mill,55529,Valid,C,992.5,,38.80389,-120.90806,"[-120, 38]"
Sylacauga,23773,Valid,H4,5560.0,,33.18836,-86.2945,"[-86, 33]"
Tabor,23776,Valid,H5,7540.0,,49.4,14.65,"[14, 49]"
Tadjera,23778,Valid,L5,9000.0,,36.18333,5.41667,"[5, 36]"
Tagish Lake,23782,Valid,C2-ung,10000.0,,59.70444,-134.20139,"[-134, 59]"
Tahara,23784,Valid,H4/5,1000.0,,34.72,137.305,"[137, 34]"
Takenouchi,23789,Valid,H5,720.0,,35.38333,134.9,"[134, 35]"
Talampaya,23791,Valid,Eucrite-cm,1421.0,,,,
Tambakwatu,23795,Valid,L6,10500.0,,-7.75,112.76667,"[112, -7]"
Tamdakht,48691,Valid,H5,100000.0,,31.16333,-7.015,"[-7, 31]"
Tané,23801,Valid,L5,905.0,,35.43333,136.23333,"[136, 35]"
Taonan,23873,Valid,L5,3850.0,,45.4,122.9,"[122, 45]"
Tatahouine,23884,Valid,Diogenite,12000.0,,32.95,10.41667,"[10, 32]"
Tathlith,23885,Valid,L6,2500.0,,19.38333,43.73333,"[43, 19]"
Tauk,23887,Valid,L6,6000.0,,35.13333,44.45,"[44, 35]"
Tauti,23888,Valid,L6,21000.0,,46.71667,23.5,"[23, 46]"
Tenham,23897,Valid,L6,160000.0,,-25.73333,142.95,"[142, -25]"
