Name of Earth Meteorite,ID of Earth Meteorite,nametype,recclass,Mass of Earth Meteorite,Year at which Earth Meteorite was hit,reclat,reclong,point coordinates
Bhola,5040,Valid,LL3-6,1047.0,,22.68333,90.65,"[90, 22]"
Bholghati,5041,Valid,Howardite,2500.0,,22.08333,86.9,"[86, 22]"
Bialystok,5042,Valid,Eucrite-pmict,4000.0,,53.1,23.2,"[23, 53]"
Bielokrynitschie,5043,Valid,H4,1900.0,,50.13333,27.16667,"[27, 50]"
Bilanga,5045,Valid,Diogenite,25000.0,,12.45,-0.08333,"[0, 12]"
Binningup,5051,Valid,H5,488.1,,-33.15639,115.67639,"[115, -33]"
Birni N'konni,5056,Valid,H4,560.0,,13.76667,5.3,"[5, 13]"
Bishopville,5059,Valid,Aubrite,6000.0,,34.16667,-80.28333,"[-80, 34]"
Bishunpur,5060,Valid,LL3.15,1039.0,,25.38333,82.6,"[82, 25]"
Bjelaja Zerkov,5063,Valid,H6,1850.0,,49.78333,30.16667,"[30, 49]"
Bjurböle,5064,Valid,L/LL4,330000.0,,60.4,25.8,"[25, 60]"
Black Moshannan Park,5065,Valid,L5,705.0,,40.91667,-78.08333,"[-78, 40]"
Blackwell,5068,Valid,L5,2381.0,,36.83333,-97.33333,"[-97, 36]"
Blanket,5071,Valid,L6,5100.0,,31.83333,-98.83333,"[-98, 31]"
Blansko,5072,Valid,H6,470.0,,49.36667,16.63333,"[16, 49]"
Bloomington,5076,Valid,LL6,67.8,,40.48,-89.00417,"[-89, 40]"
Bo Xian,5090,Valid,LL3.9,7500.0,,33.83333,115.83333,"[115, 33]"
Bocas,5093,Valid,L6,56.0,,23.0,-102.0,"[-102, 23]"
Bogou,5097,Valid,"Iron, IAB-MG",8800.0,,12.5,0.7,"[0, 12]"
Boguslavka,5098,Valid,"Iron, IIAB",256000.0,,44.55,131.63333,"[131, 44]"
Borgo San Donino,5110,Valid,LL6,1676.0,,44.86667,10.05,"[10, 44]"
Bori,5111,Valid,L6,8600.0,,21.95,78.03333,"[78, 21]"
Boriskino,5112,Valid,CM2,1342.0,,54.23333,52.48333,"[52, 54]"
Borkut,5113,Valid,L5,7000.0,,48.15,24.28333,"[24, 48]"
Borodino,5114,Valid,H5,500.0,,55.46667,35.86667,"[35, 55]"
Botschetschki,5117,Valid,L4,614.0,,51.33333,33.88333,"[33, 51]"
Boumdeid (2003),57168,Valid,L6,190.0,,17.71067,-11.3715,"[-11, 17]"
Boumdeid (2011),57167,Valid,L6,3599.0,,17.17493,-11.34133,"[-11, 17]"
Bovedy,5121,Valid,L3,5460.0,,54.56667,-6.33333,"[-6, 54]"
Bradford Woods,5128,Valid,L,762.0,,40.5,-80.08333,"[-80, 40]"
Braunau,5133,Valid,"Iron, IIAB",39000.0,,50.6,16.3,"[16, 50]"
Breitscheid,5134,Valid,H5,1500.0,,50.66694,8.18361,"[8, 50]"
Bremervörde,5135,Valid,H/L3.9,7250.0,,53.4,9.1,"[9, 53]"
Brient,5140,Valid,Eucrite-pmict,219.0,,52.13333,59.31667,"[59, 52]"
Bruderheim,5156,Valid,L6,303000.0,,53.9,-112.88333,"[-112, 53]"
Bukhara,30448,Valid,CV3,5300.0,,39.77978,64.60035,"[64, 39]"
Bulls Run,5163,Valid,Iron?,2250.0,,,,
Bunburra Rockhole,48653,Valid,Eucrite,324.0,,-31.35,129.19,"[129, -31]"
Bununu,5165,Valid,Howardite,357.0,,10.01667,9.58333,"[9, 10]"
Bur-Gheluai,5169,Valid,H5,120000.0,,5.0,48.0,"[48, 5]"
Burnwell,5175,Valid,H4-an,1504.0,,37.62194,-82.23722,"[-82, 37]"
Bursa,5177,Valid,L6,25000.0,,40.2,29.23333,"[29, 40]"
Buschhof,5178,Valid,L6,5000.0,,46.45,25.78333,"[25, 46]"
Bustee,5181,Valid,Aubrite,1500.0,,26.78333,82.83333,"[82, 26]"
Butsura,5183,Valid,H6,29000.0,,27.08333,84.08333,"[84, 27]"
Buzzard Coulee,48654,Valid,H4,41000.0,,52.996,-109.84817,"[-109, 52]"
Cabezo de Mayo,5185,Valid,L/LL6,25000.0,,37.98333,-1.16667,"[-1, 37]"
Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,,35.5,-93.5,"[-93, 35]"
