Name of Earth Meteorite,id,Meteorite,nametype,recclass,mass,year,reclat,reclong,point_coordinates
,5251,0,Valid,H4,0.0,1861-01-01T00:00:00.000,41.250000,1.666670,[]
,5252,0,Valid,H5,0.0,1866-01-01T00:00:00.000,43.383330,-5.150000,[]
,5253,0,Valid,H6,0.0,1973-01-01T00:00:00.000,38.470280,-105.241390,[]
,5260,0,Valid,H6,0.0,1846-01-01T00:00:00.000,37.266670,-89.583330,[]
,5264,0,Valid,H6,0.0,1934-01-01T00:00:00.000,-30.883330,-64.550000,[]
,45817,0,Valid,H4-5,0.0,2007-01-01T00:00:00.000,-16.664440,-69.043890,[]
,5265,0,Valid,LL6,0.0,1902-01-01T00:00:00.000,38.500000,27.000000,[]
,5291,0,Valid,H5,0.0,1874-01-01T00:00:00.000,36.083330,-78.066670,[]
,5292,0,Valid,Stone-uncl,0.0,1791-01-01T00:00:00.000,43.350000,11.500000,[]
,5293,0,Valid,L6,0.0,1848-01-01T00:00:00.000,44.383330,-68.750000,[]
,5295,0,Valid,Stone-uncl,0.0,1583-01-01T00:00:00.000,39.800000,16.200000,[]
,5296,0,Valid,OC,0.0,1810-01-01T00:00:00.000,36.500000,-79.250000,[]
,5306,0,Valid,L3.7,0.0,1988-01-01T00:00:00.000,26.466670,-105.233330,[]
,5307,0,Valid,H5,0.0,1956-01-01T00:00:00.000,43.200000,-96.916670,[]
,5308,0,Valid,H5,0.0,1840-01-01T00:00:00.000,45.083330,8.300000,[]
,5313,0,Valid,L6,0.0,1998-01-01T00:00:00.000,28.533330,109.316670,[]
,5314,0,Valid,H6,0.0,1814-01-01T00:00:00.000,25.366670,81.666670,[]
,5315,0,Valid,LL3.4,0.0,1907-01-01T00:00:00.000,25.850000,83.483330,[]
,5316,0,Valid,L5,0.0,1933-01-01T00:00:00.000,-30.783330,-58.050000,[]
,5320,0,Valid,L5,0.0,1838-01-01T00:00:00.000,20.266670,76.016670,[]
,5321,0,Valid,L6,0.0,1885-01-01T00:00:00.000,27.283330,79.050000,[]
,5322,0,Valid,H5,0.0,1977-01-01T00:00:00.000,29.083330,111.750000,[]
,5325,0,Valid,L6,0.0,1812-01-01T00:00:00.000,46.683330,1.050000,[]
,5328,0,Valid,"Iron, IVA",0.0,1835-01-01T00:00:00.000,36.166670,-87.333330,[]
,5329,0,Valid,H6,0.0,1810-01-01T00:00:00.000,47.933330,1.566670,[]
,5330,0,Valid,H6,0.0,1834-01-01T00:00:00.000,29.483330,75.500000,[]
,5331,0,Valid,Martian (chassignite),0.0,1815-01-01T00:00:00.000,47.716670,5.366670,[]
,5332,0,Valid,L6,0.0,1841-01-01T00:00:00.000,47.933330,2.916670,[]
,5334,0,Valid,Howardite,0.0,1925-01-01T00:00:00.000,41.933330,-7.466670,[]
,5338,0,Valid,H4,0.0,1988-01-01T00:00:00.000,-3.666670,32.500000,[]
,57165,0,Valid,LL5,0.0,2013-01-01T00:00:00.000,54.816670,61.116670,[]
,47347,0,Valid,H5,0.0,2007-01-01T00:00:00.000,23.696390,-5.014720,[]
,5339,0,Valid,H4,0.0,1964-01-01T00:00:00.000,53.700000,30.100000,[]
,5340,0,Valid,LL6,0.0,1933-01-01T00:00:00.000,35.033330,-81.883330,[]
,5341,0,Valid,L5,0.0,1901-01-01T00:00:00.000,46.550000,6.816670,[]
,5342,0,Valid,Eucrite-mmict,0.0,1939-01-01T00:00:00.000,50.833330,34.000000,[]
,5344,0,Valid,Stone-uncl,0.0,1880-01-01T00:00:00.000,14.500000,76.500000,[]
,5345,0,Valid,H6,0.0,1981-01-01T00:00:00.000,17.900000,101.633330,[]
,5349,0,Valid,LL6,0.0,1938-01-01T00:00:00.000,40.933330,-79.733330,[]
,5355,0,Valid,"Iron, IIIAB",0.0,1988-01-01T00:00:00.000,-10.059440,33.395000,[]
,5356,0,Valid,L6,0.0,1966-01-01T00:00:00.000,-17.350000,13.966670,[]
,5357,0,Valid,L6,0.0,1978-01-01T00:00:00.000,47.470830,0.976670,[]
,5364,0,Valid,L5,0.0,1979-01-01T00:00:00.000,-6.950000,108.100000,[]
,5374,0,Valid,L6,0.0,1984-01-01T00:00:00.000,32.102500,-81.872780,[]
,5383,0,Valid,L4,0.0,1822-01-01T00:00:00.000,0.0,0.0,[]
,5395,0,Valid,L6,0.0,1917-01-01T00:00:00.000,44.900000,-90.283330,[]
,5397,0,Valid,CM2,0.0,1838-01-01T00:00:00.000,-33.133330,19.383330,[]
,5401,0,Valid,L6,0.0,1994-01-01T00:00:00.000,43.761110,-84.507780,[]
,5403,0,Valid,H5,0.0,1890-01-01T00:00:00.000,42.533330,12.616670,[]
,5418,0,Valid,H4,0.0,1965-01-01T00:00:00.000,-19.850000,-47.550000,[]
,5451,0,Valid,H5,0.0,1844-01-01T00:00:00.000,21.166670,-100.866670,[]
,5465,0,Valid,L6,0.0,1917-01-01T00:00:00.000,10.200000,76.266670,[]
,5470,0,Valid,CM2,0.0,1936-01-01T00:00:00.000,35.950000,-97.583330,[]
,5474,0,Valid,H5,0.0,1877-01-01T00:00:00.000,-27.700000,27.300000,[]
,5476,0,Valid,H5,0.0,1892-01-01T00:00:00.000,35.633330,-78.133330,[]
,5477,0,Valid,L5,0.0,1902-01-01T00:00:00.000,54.616670,-6.216670,[]
,5496,0,Valid,Aubrite,0.0,1919-01-01T00:00:00.000,36.833330,-84.350000,[]
,5500,0,Valid,L/LL4,0.0,1877-01-01T00:00:00.000,38.400000,-84.250000,[]
,5504,0,Valid,LL6,0.0,1981-01-01T00:00:00.000,35.616670,8.833330,[]
,5511,0,Valid,L6,0.0,1878-01-01T00:00:00.000,26.916670,83.966670,[]
,5513,0,Valid,EL6,0.0,1868-01-01T00:00:00.000,-28.200000,24.566670,[]
,5514,0,Valid,L6,0.0,1868-01-01T00:00:00.000,34.400000,-87.066670,[]
,6603,0,Valid,H5,0.0,1804-01-01T00:00:00.000,49.866670,8.650000,[]
,6604,0,Valid,H5,0.0,1998-01-01T00:00:00.000,41.984440,59.685000,[]
,51559,0,Valid,L5,0.0,2008-01-01T00:00:00.000,-1.870890,-79.957560,[]
,6621,0,Valid,H6,0.0,1887-01-01T00:00:00.000,43.000000,-80.000000,[]
,6634,0,Valid,L6,0.0,1829-01-01T00:00:00.000,40.250000,-74.000000,[]
,6642,0,Valid,L5,0.0,1897-01-01T00:00:00.000,28.566670,77.250000,[]
,6649,0,Valid,L6,0.0,1911-01-01T00:00:00.000,51.466670,84.766670,[]
,6660,0,Valid,L6,0.0,1967-01-01T00:00:00.000,39.782500,-104.930560,[]
,6664,0,Valid,H5,0.0,2001-01-01T00:00:00.000,26.683330,93.866670,[]
,6693,0,Valid,H6,0.0,1962-01-01T00:00:00.000,25.733330,73.616670,[]
,6694,0,Valid,H3.8,0.0,2001-01-01T00:00:00.000,19.000000,81.000000,[]
,6696,0,Valid,L6,0.0,1994-01-01T00:00:00.000,24.225000,76.525000,[]
,6698,0,Valid,H3.8,0.0,1976-01-01T00:00:00.000,22.377780,71.427220,[]
,6699,0,Valid,OC,0.0,1848-01-01T00:00:00.000,14.883330,75.600000,[]
,7640,0,Valid,LL6,0.0,1860-01-01T00:00:00.000,32.233330,76.466670,[]
,47350,0,Valid,H3-5,0.0,2007-01-01T00:00:00.000,37.351720,27.329970,[]
,7642,0,Valid,L6,0.0,1906-01-01T00:00:00.000,-33.750000,18.566670,[]
,7649,0,Valid,H4,0.0,1957-01-01T00:00:00.000,-31.883330,-60.466670,[]
,7652,0,Valid,H6,0.0,1884-01-01T00:00:00.000,-7.500000,111.500000,[]
,7656,0,Valid,H,0.0,1961-01-01T00:00:00.000,12.733330,15.050000,[]
,7657,0,Valid,H5-6,0.0,1999-01-01T00:00:00.000,36.950000,9.550000,[]
,7658,0,Valid,H5,0.0,1903-01-01T00:00:00.000,23.500000,90.333330,[]
,7659,0,Valid,L6,0.0,1864-01-01T00:00:00.000,50.750000,25.300000,[]
,7661,0,Valid,L5,0.0,1907-01-01T00:00:00.000,40.000000,29.000000,[]
,7706,0,Valid,Mesosiderite,0.0,1995-01-01T00:00:00.000,45.500000,119.033330,[]
,7707,0,Valid,H6,0.0,1899-01-01T00:00:00.000,21.866670,82.450000,[]
,7708,0,Valid,LL6,0.0,1970-01-01T00:00:00.000,32.916670,120.783330,[]
,7718,0,Valid,H5-7,0.0,1805-01-01T00:00:00.000,51.200000,112.300000,[]
,7722,0,Valid,L6,0.0,1962-01-01T00:00:00.000,13.050000,3.166670,[]
,7723,0,Valid,LL6,0.0,1932-01-01T00:00:00.000,32.333330,-6.300000,[]
,7725,0,Valid,Stone-uncl,0.0,1976-01-01T00:00:00.000,-13.666670,33.916670,[]
,7728,0,Valid,L6,0.0,1827-01-01T00:00:00.000,36.400000,-86.500000,[]
,7731,0,Valid,H6,0.0,1939-01-01T00:00:00.000,42.520000,-82.260000,[]
,7736,0,Valid,L3-6,0.0,1951-01-01T00:00:00.000,42.458330,18.441670,[]
,7743,0,Valid,L6,0.0,1999-01-01T00:00:00.000,-31.666670,152.833330,[]
,7745,0,Valid,H5,0.0,1865-01-01T00:00:00.000,52.550000,-8.033330,[]
,7749,0,Valid,Stone-uncl,0.0,1976-01-01T00:00:00.000,43.333330,128.250000,[]
,7750,0,Valid,L6,0.0,1815-01-01T00:00:00.000,30.300000,76.633330,[]
,7752,0,Valid,L6,0.0,1853-01-01T00:00:00.000,-4.000000,39.500000,[]
,7754,0,Valid,L6,0.0,1943-01-01T00:00:00.000,33.433330,127.266670,[]
,7755,0,Valid,H4-6,0.0,1970-01-01T00:00:00.000,-27.200000,31.316670,[]
,7757,0,Valid,Ureilite,0.0,1872-01-01T00:00:00.000,26.250000,82.000000,[]
,7758,0,Valid,Mesosiderite-A1,0.0,1933-01-01T00:00:00.000,-3.000000,151.000000,[]
,7760,0,Valid,EL6,0.0,1947-01-01T00:00:00.000,40.781670,-96.471670,[]
,7774,0,Valid,H5,0.0,1961-01-01T00:00:00.000,-17.300000,15.833330,[]
,7775,0,Valid,H5,0.0,1785-01-01T00:00:00.000,48.900000,11.216670,[]
,7776,0,Valid,H4,0.0,1939-01-01T00:00:00.000,56.033330,13.000000,[]
,7777,0,Valid,H6,0.0,1916-01-01T00:00:00.000,28.266670,78.783330,[]
,7807,0,Valid,L6,0.0,1989-01-01T00:00:00.000,34.416670,3.250000,[]
,45977,0,Valid,H5,0.0,1977-01-01T00:00:00.000,25.370000,-97.370000,[]
,7819,0,Valid,L6,0.0,1993-01-01T00:00:00.000,19.967220,-103.051670,[]
,7822,0,Valid,LL6,0.0,1998-01-01T00:00:00.000,39.246670,-104.588170,[]
,7823,0,Valid,"Iron, IID",0.0,1400-01-01T00:00:00.000,50.183330,12.733330,[]
,7824,0,Valid,L5,0.0,1951-01-01T00:00:00.000,47.833330,37.666670,[]
,10019,0,Valid,Diogenite,0.0,1925-01-01T00:00:00.000,51.750000,4.000000,[]
,10033,0,Valid,Eucrite-mmict,0.0,1900-01-01T00:00:00.000,-29.466670,151.616670,[]
,10038,0,Valid,H5,0.0,1974-01-01T00:00:00.000,30.300000,109.500000,[]
,10039,0,Valid,LL6,0.0,1492-01-01T00:00:00.000,47.866670,7.350000,[]
,10041,0,Valid,H5,0.0,1822-01-01T00:00:00.000,48.183330,6.466670,[]
,10042,0,Valid,CM2,0.0,1940-01-01T00:00:00.000,19.033330,81.891670,[]
,10043,0,Valid,Howardite,0.0,1911-01-01T00:00:00.000,40.300000,44.500000,[]
,10044,0,Valid,L5,0.0,1889-01-01T00:00:00.000,1.166670,44.166670,[]
,10049,0,Valid,H6,0.0,1812-01-01T00:00:00.000,52.216670,11.250000,[]
,10051,0,Valid,L6,0.0,1837-01-01T00:00:00.000,46.250000,-1.100000,[]
,10055,0,Valid,C2-ung,0.0,1957-01-01T00:00:00.000,2.883330,30.833330,[]
,10059,0,Valid,Mesosiderite-A3/4,0.0,1879-01-01T00:00:00.000,43.416670,-94.833330,[]
,10074,0,Valid,L5,0.0,1890-01-01T00:00:00.000,39.750000,-97.033330,[]
,10075,0,Valid,H4,0.0,1934-01-01T00:00:00.000,35.550000,-77.533330,[]
,10078,0,Valid,H5,0.0,1844-01-01T00:00:00.000,44.383330,2.816670,[]
